pipeline,model,sex,mean_mae,std_mae,n_features,n_samples,n_subjects,successful_folds,n_train_samples_per_fold,best_params
all_pipelines,kneighbors,M,9.586644910278668,0.9172210912711587,384,1710,925,5,1368.0,N/A
all_pipelines,kneighbors,F,9.077259740869964,0.3299781872967168,384,3071,1472,5,2456.0,N/A
all_pipelines,histgradientboosting,M,6.0729013415646,1.2736349106974911,384,1710,925,5,1368.0,N/A
all_pipelines,histgradientboosting,F,5.880726697244972,0.20656370873413502,384,3071,1472,5,2456.0,N/A
all_pipelines,extratrees,M,7.588146869227863,1.3146418132182953,384,1710,925,5,1368.0,N/A
all_pipelines,extratrees,F,7.170991773859188,0.21738473051773272,384,3071,1472,5,2456.0,N/A
all_pipelines,svm,M,10.611396342859521,0.44064242252061714,384,1710,925,5,1368.0,N/A
all_pipelines,svm,F,8.60090490034506,0.321966503485971,384,3071,1472,5,2456.0,N/A
ensemble,ensemble_elasticnet,M,17.08598275372658,0.624855644332963,multiple,1710,925,5,,
ensemble,ensemble_elasticnet,F,15.165731748505612,0.4344085540152895,multiple,3071,1472,5,,
ensemble,ensemble_kneighbors,M,12.163913892108813,0.48522096402633674,multiple,1710,925,5,,
ensemble,ensemble_kneighbors,F,10.895753717205261,0.3515110924319768,multiple,3071,1472,5,,
ensemble,ensemble_histgradientboosting,M,9.579678625745013,0.6380450119662099,multiple,1710,925,5,,
ensemble,ensemble_histgradientboosting,F,8.07588462984545,0.20482742522015462,multiple,3071,1472,5,,
ensemble,ensemble_extratrees,M,11.935389249855945,0.68297801424128,multiple,1710,925,5,,
ensemble,ensemble_extratrees,F,10.060102724688022,0.24454669173939955,multiple,3071,1472,5,,
ensemble,ensemble_svm,M,15.753546928357304,0.6459286264379624,multiple,1710,925,5,,
ensemble,ensemble_svm,F,13.01584067507911,0.9910434018004372,multiple,3071,1472,5,,
