pipeline,model,sex,mean_mae,std_mae,n_features,n_samples,n_subjects,successful_folds,n_train_samples_per_fold,best_params
all_pipelines,kneighbors,M,12.148251357447155,0.610564352493915,384,1325,700,5,1060.0,N/A
all_pipelines,kneighbors,F,10.10143942836647,0.25024006500492046,384,2555,1217,5,2044.0,N/A
all_pipelines,histgradientboosting,M,5.897040753359616,1.2501160315133377,384,1325,700,5,1060.0,N/A
all_pipelines,histgradientboosting,F,5.696276421422669,0.31835400868008296,384,2555,1217,5,2044.0,N/A
all_pipelines,extratrees,M,7.861674844103883,1.3024876627805921,384,1325,700,5,1060.0,N/A
all_pipelines,extratrees,F,7.059393987082883,0.41755140963019854,384,2555,1217,5,2044.0,N/A
all_pipelines,svm,M,12.005697859477568,0.696416173362854,384,1325,700,5,1060.0,N/A
all_pipelines,svm,F,10.028046019452946,0.3751605984784926,384,2555,1217,5,2044.0,N/A
ensemble,ensemble_elasticnet,M,17.529546215167024,0.4491878724414138,multiple,1325,700,5,,
ensemble,ensemble_elasticnet,F,15.461198392075351,0.46462616989199346,multiple,2555,1217,5,,
ensemble,ensemble_kneighbors,M,14.032078869910174,0.6587094125774161,multiple,1325,700,5,,
ensemble,ensemble_kneighbors,F,11.7835547233765,0.2506758940105301,multiple,2555,1217,5,,
ensemble,ensemble_histgradientboosting,M,9.93519769096087,0.5499076820907907,multiple,1325,700,5,,
ensemble,ensemble_histgradientboosting,F,8.619501511415484,0.31707924826082856,multiple,2555,1217,5,,
ensemble,ensemble_extratrees,M,12.308727318542427,0.46949603781704446,multiple,1325,700,5,,
ensemble,ensemble_extratrees,F,10.60785434022526,0.3899045225675093,multiple,2555,1217,5,,
ensemble,ensemble_svm,M,16.468430380539807,0.6416711874729942,multiple,1325,700,5,,
ensemble,ensemble_svm,F,14.018439281029789,0.6943371298869208,multiple,2555,1217,5,,
