pipeline,model,sex,mean_mae,std_mae,n_features,n_samples,n_subjects,successful_folds,n_train_samples_per_fold,best_params
freesurfer8001ants243,baseline,M,22.441456642559093,0.9874931194813833,0,1511,796,5,1208.0,N/A
freesurfer8001ants243,baseline,F,18.201832350741643,0.8633031297764325,0,2830,1347,5,2264.0,N/A
freesurfer8001ants243,elasticnet,M,16.967575581545784,0.6611475199123268,111,1511,796,5,1208.0,N/A
freesurfer8001ants243,elasticnet,F,15.352069054185694,0.5363044445962638,111,2830,1347,5,2264.0,N/A
freesurfer8001ants243,kneighbors,M,12.214631363034927,0.3289596498097199,111,1511,796,5,1208.0,N/A
freesurfer8001ants243,kneighbors,F,10.750640529037998,0.35907802291986507,111,2830,1347,5,2264.0,N/A
freesurfer8001ants243,histgradientboosting,M,6.236858343772177,1.0183460889045517,111,1511,796,5,1208.0,N/A
freesurfer8001ants243,histgradientboosting,F,6.979875488727016,0.40407710424176385,111,2830,1347,5,2264.0,N/A
freesurfer8001ants243,extratrees,M,7.865576853128563,1.1395040795672142,111,1511,796,5,1208.0,N/A
freesurfer8001ants243,extratrees,F,7.725022283550278,0.4525003020533213,111,2830,1347,5,2264.0,N/A
freesurfer8001ants243,svm,M,10.934918317330894,0.5801380687486476,111,1511,796,5,1208.0,N/A
freesurfer8001ants243,svm,F,9.922465883400495,0.3023929159632108,111,2830,1347,5,2264.0,N/A
freesurfer741ants243,baseline,M,22.441456642559093,0.9874931194813833,0,1511,796,5,1208.0,N/A
freesurfer741ants243,baseline,F,18.201832350741643,0.8633031297764325,0,2830,1347,5,2264.0,N/A
freesurfer741ants243,elasticnet,M,17.5373238377953,0.9044293868432649,120,1511,796,5,1208.0,N/A
freesurfer741ants243,elasticnet,F,15.692891933952913,0.6958830745120372,120,2830,1347,5,2264.0,N/A
freesurfer741ants243,kneighbors,M,12.168890375078044,0.622770071652305,120,1511,796,5,1208.0,N/A
freesurfer741ants243,kneighbors,F,10.878285477423471,0.7963159760256888,120,2830,1347,5,2264.0,N/A
freesurfer741ants243,histgradientboosting,M,9.077540451207202,0.5310058630870993,120,1511,796,5,1208.0,N/A
freesurfer741ants243,histgradientboosting,F,9.050227398223466,0.41493029924363883,120,2830,1347,5,2264.0,N/A
freesurfer741ants243,extratrees,M,11.106780021559748,0.6489592288274081,120,1511,796,5,1208.0,N/A
freesurfer741ants243,extratrees,F,10.135249139944825,0.6289615659191526,120,2830,1347,5,2264.0,N/A
freesurfer741ants243,svm,M,12.533814031675556,0.8582712740681834,120,1511,796,5,1208.0,N/A
freesurfer741ants243,svm,F,10.869895610720805,0.37940582146702106,120,2830,1347,5,2264.0,N/A
samseg8001ants243,baseline,M,22.441456642559093,0.9874931194813833,0,1511,796,5,1208.0,N/A
samseg8001ants243,baseline,F,18.201832350741643,0.8633031297764325,0,2830,1347,5,2264.0,N/A
samseg8001ants243,elasticnet,M,16.679902601568596,0.5451568785420234,108,1511,796,5,1208.0,N/A
samseg8001ants243,elasticnet,F,14.799936160595033,0.3734661821357998,108,2830,1347,5,2264.0,N/A
samseg8001ants243,kneighbors,M,13.297152985763542,0.6935231019140473,108,1511,796,5,1208.0,N/A
samseg8001ants243,kneighbors,F,11.389824358187278,0.37158767919289293,108,2830,1347,5,2264.0,N/A
samseg8001ants243,histgradientboosting,M,12.207274636541772,0.48747944565769924,108,1511,796,5,1208.0,N/A
samseg8001ants243,histgradientboosting,F,10.615397726013265,0.6147135399888966,108,2830,1347,5,2264.0,N/A
samseg8001ants243,extratrees,M,13.56313060023254,0.5417409436493598,108,1511,796,5,1208.0,N/A
samseg8001ants243,extratrees,F,11.808012355813375,0.4731176676322739,108,2830,1347,5,2264.0,N/A
samseg8001ants243,svm,M,13.06850922299795,0.48929431897607406,108,1511,796,5,1208.0,N/A
samseg8001ants243,svm,F,10.918448205443571,0.33065982471132666,108,2830,1347,5,2264.0,N/A
fslanat6071ants243,baseline,M,22.441456642559093,0.9874931194813833,0,1511,796,5,1208.0,N/A
