pipeline,model,sex,mean_mae,std_mae,successful_folds,n_train_samples_per_fold,mae_fold_1,mae_fold_2,mae_fold_3,mae_fold_4,mae_fold_5,mae_fold_6,mae_fold_7,n_features,n_samples,n_subjects,best_params
freesurfer8001ants243,baseline,M,22.726008915533093,0.5237368413980636,7,1464,22.613556078727484,22.1596891936232,23.09707127486431,22.986645591078876,22.006639404463755,22.575418866118063,23.643041999855928,0,1710,925,N/A
freesurfer8001ants243,baseline,F,18.281943984330432,0.57370420844024,7,2628,18.540032538667642,18.48955225504356,18.397679124405283,19.109165570544015,17.077434433932858,18.06835087235855,18.291393095361116,0,3071,1472,N/A
freesurfer8001ants243,elasticnet,M,16.31360689267797,0.8252848462614528,7,1464,17.27718493135604,16.964690129548615,16.72828824142645,16.068587138514093,15.435586992470164,14.860038809095999,16.860872006334432,185,1710,925,N/A
freesurfer8001ants243,elasticnet,F,14.629821988428395,0.3158344363511642,7,2628,14.561437208086655,13.967859652896655,14.676895012051363,14.951488699732112,14.719777430255876,14.99446493092691,14.5368309850492,185,3071,1472,N/A
freesurfer8001ants243,kneighbors,M,9.258475662780013,0.9590413093617469,7,1464,9.491394117639384,11.43914062819509,9.157307515845343,8.257943774477944,8.936324147204532,8.872938805305488,8.654280650792304,185,1710,925,N/A
freesurfer8001ants243,kneighbors,F,8.993667580146097,0.37249656676193654,7,2628,8.928615522865272,8.949865105990328,8.44088991361747,8.649223085266735,9.612779059905847,8.983741487584185,9.390558885792853,185,3071,1472,N/A
freesurfer8001ants243,histgradientboosting,M,6.358618643515301,0.5219268334457793,7,1464,6.602245137890371,5.720258221712063,7.227982980138137,5.9573871751120935,5.856795355039202,6.273152594359405,6.872509040355845,185,1710,925,N/A
freesurfer8001ants243,histgradientboosting,F,6.389381855173474,0.16504695319599405,7,2628,6.486339972914065,6.433133977559999,6.199094816663555,6.271092073075563,6.169072898952204,6.532037322905319,6.634901924143604,185,3071,1472,N/A
freesurfer8001ants243,extratrees,M,7.183256424071939,0.34191188594635397,7,1464,7.512029808379114,6.978620749713892,7.861796316771188,6.823735435997365,6.966716977333173,7.0146317593648355,7.125263920944015,185,1710,925,N/A
freesurfer8001ants243,extratrees,F,7.496827378053577,0.3887091973053021,7,2628,7.319567704973493,7.777268906156803,7.217229036947035,7.528276020809867,6.802686528498358,7.784951190817311,8.04781225817217,185,3071,1472,N/A
freesurfer8001ants243,svm,M,8.74730323745492,0.7478777373195957,7,1464,8.06854826895611,9.854962302783902,9.590687409332673,9.089119734648175,8.803384837876687,7.884022438024301,7.940397670562592,185,1710,925,N/A
freesurfer8001ants243,svm,F,8.312278564950388,0.37962202105902665,7,2628,7.988875501457122,8.944188539347913,8.529804980811113,7.784465307961653,8.18171789046379,8.655200300445891,8.101697434165224,185,3071,1472,N/A
freesurfer741ants243,baseline,M,22.726008915533093,0.5237368413980636,7,1464,22.613556078727484,22.1596891936232,23.09707127486431,22.986645591078876,22.006639404463755,22.575418866118063,23.643041999855928,0,1710,925,N/A
freesurfer741ants243,baseline,F,18.281943984330432,0.57370420844024,7,2628,18.540032538667642,18.48955225504356,18.397679124405283,19.109165570544015,17.077434433932858,18.06835087235855,18.291393095361116,0,3071,1472,N/A
freesurfer741ants243,elasticnet,M,16.992447485659632,0.9175877500363407,7,1464,18.228479953549762,17.86987462422291,16.670114909557036,17.45566778431982,16.01337914572509,15.48708052555647,17.222535456686337,200,1710,925,N/A
freesurfer741ants243,elasticnet,F,15.100277185243225,0.6064853732106504,7,2628,14.629492181662226,14.155120743032578,15.3121366772828,16.176008666572468,14.772327829936783,15.480206750661223,15.176647447554487,200,3071,1472,N/A
freesurfer741ants243,kneighbors,M,10.904857219502835,1.43836039337874,7,1464,9.13443996953164,13.169607156637943,12.393626698994696,11.81353134107394,10.182634405209772,9.431824975143265,10.208335989928607,200,1710,925,N/A
freesurfer741ants243,kneighbors,F,9.80151369219031,0.3707879657488176,7,2628,9.719581060116388,9.558821678853706,9.086742080555329,9.912754032964344,9.925350855260346,10.07195215601462,10.335393981567442,200,3071,1472,N/A
freesurfer741ants243,histgradientboosting,M,8.367657701963244,0.37534053011374724,7,1464,7.966030498996846,8.310020474860472,9.135750312886287,8.362145896156527,8.238247823762386,8.596672683236777,7.964736223843417,200,1710,925,N/A
freesurfer741ants243,histgradientboosting,F,8.358306915481045,0.3288291688888504,7,2628,8.227445100878317,8.252396468788273,8.326278819771526,8.568398002475565,7.722794819678018,8.566588244669166,8.84424695210645,200,3071,1472,N/A
freesurfer741ants243,extratrees,M,10.746749553704758,0.4814681641370119,7,1464,10.46825458018365,11.530346353990957,11.400978230351006,10.745599825065362,10.19434513767129,10.358866858723584,10.528855889947458,200,1710,925,N/A
freesurfer741ants243,extratrees,F,9.720813200771536,0.4254029392111404,7,2628,9.041435904305084,9.6460772833187,9.347599976279698,10.275359488998898,9.51419271511804,10.053943831007794,10.167083206372546,200,3071,1472,N/A
freesurfer741ants243,svm,M,10.997049137128087,1.0823507300265132,7,1464,9.753655076809787,11.636924576823105,12.535102286392751,12.170811249136438,9.655464184315074,10.162132790803632,11.065253795615833,200,1710,925,N/A
freesurfer741ants243,svm,F,9.525047430285554,0.444854326218902,7,2628,8.694519699147715,9.921491964420223,9.68193706358122,9.314086798366386,9.822817245340472,10.04592395541324,9.194555285729628,200,3071,1472,N/A
samseg8001ants243,baseline,M,22.726008915533093,0.5237368413980636,7,1464,22.613556078727484,22.1596891936232,23.09707127486431,22.986645591078876,22.006639404463755,22.575418866118063,23.643041999855928,0,1710,925,N/A
samseg8001ants243,baseline,F,18.281943984330432,0.57370420844024,7,2628,18.540032538667642,18.48955225504356,18.397679124405283,19.109165570544015,17.077434433932858,18.06835087235855,18.291393095361116,0,3071,1472,N/A
samseg8001ants243,elasticnet,M,15.700084910835907,0.6461658110974117,7,1464,16.181632297142347,16.27436285588525,15.897569221677033,16.48121998211711,14.61117423375192,15.028429830756926,15.42620595452076,180,1710,925,N/A
samseg8001ants243,elasticnet,F,14.253745672304932,0.2976039935654353,7,2628,14.563915875385476,13.735502283125944,13.99675923551823,14.2536458411934,14.53329260240228,14.563093690385315,14.130010178123873,180,3071,1472,N/A
