pipeline,model,sex,n_features,n_samples,n_subjects,mean_mae,std_mae,successful_folds,n_train_samples_per_fold,best_params,mae_fold_1,mae_fold_2,mae_fold_3,mae_fold_4,mae_fold_5,mae_fold_6,mae_fold_7
fs741_vol_DKT,baseline,M,0,1704,924,22.687689378579854,0.8922534093137828,7,1460,N/A,22.51871055173099,22.443132772601853,22.581331551289296,22.331737413071455,24.269661566435616,21.195658423860984,23.473593371068805
fs741_vol_DKT,baseline,F,0,3059,1468,18.26998241906832,0.569983534758205,7,2623,N/A,17.93195273414446,18.037867434990943,18.550255822206008,18.848646405316718,17.259913365928675,18.176603669543095,19.084637501348336
fs741_vol_DKT,elasticnet,M,324,1704,924,16.31590354113102,0.7429662182126775,7,1460,N/A,15.905098302774626,16.352443480546587,15.493643687030143,16.359284231718874,17.67937607552774,15.457504466860287,16.963974543458892
fs741_vol_DKT,elasticnet,F,324,3059,1468,14.76853087546601,0.5323956332233478,7,2623,N/A,14.875539317904327,14.372463558563311,15.753470267207897,14.100092842231064,14.773269605740657,15.198725135367376,14.306155401247418
fs741_vol_DKT,kneighbors,M,324,1704,924,11.72563351735249,1.2162895664817732,7,1460,N/A,12.121561950469534,11.664541793529194,9.807282232625171,12.700224861616942,11.099201000355649,10.858444209948816,13.828178572922123
fs741_vol_DKT,kneighbors,F,324,3059,1468,10.8907270265564,0.5696057352955923,7,2623,N/A,10.783729036776673,10.298058961432744,11.013946086972583,10.054905769314582,11.763849476504886,11.539106493676142,10.781493361217189
fs741_vol_DKT,histgradientboosting,M,324,1704,924,8.384970379023063,0.5699626151733683,7,1460,N/A,7.85228437346496,8.478892521967373,8.007824170688846,8.134420603258551,8.351378833025302,8.170069101231919,9.699923049524495
fs741_vol_DKT,histgradientboosting,F,324,3059,1468,8.314397518561087,0.3758841855550607,7,2623,N/A,8.261467917648455,8.137479570327123,8.800824863785541,8.003293357653304,8.712758921330089,7.693190773098265,8.591767226084833
fs741_vol_DKT,extratrees,M,324,1704,924,10.98994661751539,0.7482435809139047,7,1460,N/A,10.836965903421063,10.539434574193436,10.161687589013214,11.203288918330657,11.992396409726911,10.114828768257809,12.081024159664642
fs741_vol_DKT,extratrees,F,324,3059,1468,9.89937269338134,0.24843000133802326,7,2623,N/A,9.894522522796448,9.706920891840685,10.393771861704396,9.517037792599904,9.941807183827047,9.949355599747173,9.892193001153732
fs741_vol_DKT,svm,M,324,1704,924,11.717521886871625,0.6497902123815911,7,1460,N/A,11.228942984913902,11.586588457565204,10.84420065500635,12.039069314603209,12.437948141703068,11.164169345491885,12.72173430881774
fs741_vol_DKT,svm,F,324,3059,1468,10.594217679018106,0.5185374748979257,7,2623,N/A,10.259522133270192,10.27515823984708,10.598734320183853,9.93601361269518,11.56393818062287,11.10783134761016,10.418325918897407
fs741_vol_a2009s,baseline,M,0,1704,924,22.687689378579854,0.8922534093137828,7,1460,N/A,22.51871055173099,22.443132772601853,22.581331551289296,22.331737413071455,24.269661566435616,21.195658423860984,23.473593371068805
fs741_vol_a2009s,baseline,F,0,3059,1468,18.26998241906832,0.569983534758205,7,2623,N/A,17.93195273414446,18.037867434990943,18.550255822206008,18.848646405316718,17.259913365928675,18.176603669543095,19.084637501348336
fs741_vol_a2009s,elasticnet,M,496,1704,924,16.08716095109988,0.6041434492677845,7,1460,N/A,15.894066434091787,16.184349409302012,15.36892885828676,16.42772569775217,16.783336464265922,15.149144655239978,16.80257513876053
fs741_vol_a2009s,elasticnet,F,496,3059,1468,14.539558154604745,0.55864065182214,7,2623,N/A,14.400339613331681,13.88338776243078,15.47342315394727,13.97555019955402,14.50836815444194,15.236499503633775,14.299338694893736
fs741_vol_a2009s,kneighbors,M,496,1704,924,12.549238149010213,1.1705789856459805,7,1460,N/A,12.004293029586211,12.903404780476585,10.605468135861127,12.405377071849905,13.53220959757391,11.86182871269651,14.532085715027247
fs741_vol_a2009s,kneighbors,F,496,3059,1468,12.303101355279535,0.7490434303477853,7,2623,N/A,12.964907548727806,11.38901744957524,12.575877797748559,10.983153981410563,12.903105361681904,12.993881831803325,12.311765516009348
